#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    52    0.16602E+04    0.18523E+00    0.14304E-04    0.47519E-02    0.38549E-02    0.18523E+00    0.15142E+00   -0.16991E-07    0.18569E-07   -0.57943E-08    0.14304E-04   -0.16991E-07    0.49459E-10    0.28868E-07    0.22436E-07    0.47519E-02    0.18569E-07    0.28868E-07    0.33962E-03    0.20860E-03    0.38549E-02   -0.57943E-08    0.22436E-07    0.20860E-03    0.18694E-03
    53    0.16841E+04   -0.61702E-01    0.13760E-04    0.47704E-02    0.38782E-02   -0.61702E-01    0.16082E+00   -0.16729E-07    0.25778E-07    0.12621E-09    0.13760E-04   -0.16729E-07    0.47428E-10    0.29019E-07    0.22545E-07    0.47704E-02    0.25778E-07    0.29019E-07    0.35376E-03    0.21736E-03    0.38782E-02    0.12621E-09    0.22545E-07    0.21736E-03    0.19470E-03
    54    0.17079E+04   -0.32615E+00    0.13244E-04    0.47873E-02    0.38962E-02   -0.32615E+00    0.17069E+00   -0.16468E-07    0.27848E-07    0.56502E-08    0.13244E-04   -0.16468E-07    0.45507E-10    0.29159E-07    0.22647E-07    0.47873E-02    0.27848E-07    0.29159E-07    0.36814E-03    0.22628E-03    0.38962E-02    0.56502E-08    0.22647E-07    0.22628E-03    0.20258E-03
    55    0.17319E+04   -0.60307E+00    0.12754E-04    0.48040E-02    0.39069E-02   -0.60307E+00    0.18101E+00   -0.16208E-07    0.22356E-07    0.89735E-08    0.12754E-04   -0.16208E-07    0.43689E-10    0.29290E-07    0.22741E-07    0.48040E-02    0.22356E-07    0.29290E-07    0.38275E-03    0.23535E-03    0.39069E-02    0.89735E-08    0.22741E-07    0.23535E-03    0.21059E-03
    56    0.17563E+04   -0.89368E+00    0.12288E-04    0.48214E-02    0.39095E-02   -0.89368E+00    0.19165E+00   -0.15950E-07    0.81858E-08    0.88398E-08    0.12288E-04   -0.15950E-07    0.41965E-10    0.29412E-07    0.22828E-07    0.48214E-02    0.81858E-08    0.29412E-07    0.39760E-03    0.24455E-03    0.39095E-02    0.88398E-08    0.22828E-07    0.24455E-03    0.21873E-03
    57    0.17809E+04   -0.11979E+01    0.11845E-04    0.48393E-02    0.39073E-02   -0.11979E+01    0.20249E+00   -0.15693E-07   -0.10548E-07    0.61829E-08    0.11845E-04   -0.15693E-07    0.40330E-10    0.29525E-07    0.22908E-07    0.48393E-02   -0.10548E-07    0.29525E-07    0.41266E-03    0.25389E-03    0.39073E-02    0.61829E-08    0.22908E-07    0.25389E-03    0.22698E-03
    58    0.18059E+04   -0.15166E+01    0.11423E-04    0.48571E-02    0.39051E-02   -0.15166E+01    0.21354E+00   -0.15439E-07   -0.28424E-07    0.24843E-08    0.11423E-04   -0.15439E-07    0.38778E-10    0.29628E-07    0.22980E-07    0.48571E-02   -0.28424E-07    0.29628E-07    0.42795E-03    0.26337E-03    0.39051E-02    0.24843E-08    0.22980E-07    0.26337E-03    0.23535E-03
    59    0.18311E+04   -0.18506E+01    0.11022E-04    0.48742E-02    0.39074E-02   -0.18506E+01    0.22484E+00   -0.15186E-07   -0.40021E-07   -0.77453E-09    0.11022E-04   -0.15186E-07    0.37305E-10    0.29723E-07    0.23046E-07    0.48742E-02   -0.40021E-07    0.29723E-07    0.44345E-03    0.27298E-03    0.39074E-02   -0.77453E-09    0.23046E-07    0.27298E-03    0.24383E-03
    60    0.18565E+04   -0.21993E+01    0.10639E-04    0.48901E-02    0.39189E-02   -0.21993E+01    0.23643E+00   -0.14936E-07   -0.39917E-07   -0.21120E-08    0.10639E-04   -0.14936E-07    0.35904E-10    0.29809E-07    0.23106E-07    0.48901E-02   -0.39917E-07    0.29809E-07    0.45916E-03    0.28271E-03    0.39189E-02   -0.21120E-08    0.23106E-07    0.28271E-03    0.25242E-03
    61    0.18824E+04   -0.25621E+01    0.10273E-04    0.49044E-02    0.39423E-02   -0.25621E+01    0.24841E+00   -0.14688E-07   -0.24962E-07   -0.61293E-09    0.10273E-04   -0.14688E-07    0.34571E-10    0.29887E-07    0.23159E-07    0.49044E-02   -0.24962E-07    0.29887E-07    0.47507E-03    0.29257E-03    0.39423E-02   -0.61293E-09    0.23159E-07    0.29257E-03    0.26112E-03
    62    0.19081E+04   -0.29399E+01    0.99243E-05    0.49178E-02    0.39731E-02   -0.29399E+01    0.26076E+00   -0.14443E-07   -0.10736E-08    0.23723E-08    0.99243E-05   -0.14443E-07    0.33303E-10    0.29957E-07    0.23205E-07    0.49178E-02   -0.10736E-08    0.29957E-07    0.49118E-03    0.30255E-03    0.39731E-02    0.23723E-08    0.23205E-07    0.30255E-03    0.26993E-03
    63    0.19341E+04   -0.33336E+01    0.95907E-05    0.49312E-02    0.40047E-02   -0.33336E+01    0.27345E+00   -0.14200E-07    0.23557E-07    0.49269E-08    0.95907E-05   -0.14200E-07    0.32095E-10    0.30019E-07    0.23246E-07    0.49312E-02    0.23557E-07    0.30019E-07    0.50747E-03    0.31265E-03    0.40047E-02    0.49269E-08    0.23246E-07    0.31265E-03    0.27883E-03
    64    0.19604E+04   -0.37446E+01    0.92720E-05    0.49456E-02    0.40308E-02   -0.37446E+01    0.28649E+00   -0.13959E-07    0.40742E-07    0.51344E-08    0.92720E-05   -0.13959E-07    0.30944E-10    0.30073E-07    0.23281E-07    0.49456E-02    0.40742E-07    0.30073E-07    0.52396E-03    0.32286E-03    0.40308E-02    0.51344E-08    0.23281E-07    0.32286E-03    0.28784E-03
    65    0.19868E+04   -0.41735E+01    0.89674E-05    0.49619E-02    0.40448E-02   -0.41735E+01    0.29986E+00   -0.13720E-07    0.42292E-07    0.10779E-08    0.89674E-05   -0.13720E-07    0.29847E-10    0.30121E-07    0.23311E-07    0.49619E-02    0.42292E-07    0.30121E-07    0.54063E-03    0.33319E-03    0.40448E-02    0.10779E-08    0.23311E-07    0.33319E-03    0.29694E-03
