#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    51    0.29029E+01    0.87114E-02    0.99571E-05    0.14536E-01    0.31168E-01    0.87114E-02   -0.15865E-03    0.27284E-12    0.52188E-09    0.95288E-09    0.99571E-05    0.27284E-12    0.35698E-10    0.56337E-07    0.11770E-06    0.14536E-01    0.52188E-09    0.56337E-07    0.76231E-03    0.10710E-02    0.31168E-01    0.95288E-09    0.11770E-06    0.10710E-02    0.15635E-02
    52    0.30446E+01    0.12776E-01    0.94981E-05    0.14543E-01    0.31039E-01    0.12776E-01   -0.32573E-03    0.20849E-12    0.13210E-09    0.38230E-09    0.94981E-05    0.20849E-12    0.34054E-10    0.56358E-07    0.11721E-06    0.14543E-01    0.13210E-09    0.56358E-07    0.78853E-03    0.11086E-02    0.31039E-01    0.38230E-09    0.11721E-06    0.11086E-02    0.16188E-02
    53    0.30106E+01    0.92855E-02    0.90658E-05    0.14544E-01    0.30904E-01    0.92855E-02   -0.34961E-03    0.15603E-12   -0.19386E-09   -0.96493E-10    0.90658E-05    0.15603E-12    0.32506E-10    0.56360E-07    0.11671E-06    0.14544E-01   -0.19386E-09    0.56360E-07    0.81498E-03    0.11466E-02    0.30904E-01   -0.96493E-10    0.11671E-06    0.11466E-02    0.16746E-02
    54    0.27108E+01    0.33016E-02    0.86585E-05    0.14541E-01    0.30765E-01    0.33016E-02   -0.23463E-03    0.11540E-12   -0.43859E-09   -0.45865E-09    0.86585E-05    0.11540E-12    0.31048E-10    0.56345E-07    0.11619E-06    0.14541E-01   -0.43859E-09    0.56345E-07    0.84164E-03    0.11849E-02    0.30765E-01   -0.45865E-09    0.11619E-06    0.11849E-02    0.17308E-02
    55    0.23526E+01    0.24874E-07    0.82741E-05    0.14533E-01    0.30622E-01    0.24874E-07    0.40551E-14    0.86530E-13   -0.58468E-09   -0.67930E-09    0.82741E-05    0.86530E-13    0.29672E-10    0.56313E-07    0.11566E-06    0.14533E-01   -0.58468E-09    0.56313E-07    0.86849E-03    0.12235E-02    0.30622E-01   -0.67930E-09    0.11566E-06    0.12235E-02    0.17875E-02
    56    0.21477E+01   -0.17291E-02    0.79110E-05    0.14521E-01    0.30474E-01   -0.17291E-02    0.21343E-03    0.69088E-13   -0.61960E-09   -0.74052E-09    0.79110E-05    0.69088E-13    0.28372E-10    0.56264E-07    0.11511E-06    0.14521E-01   -0.61960E-09    0.56264E-07    0.89551E-03    0.12623E-02    0.30474E-01   -0.74052E-09    0.11511E-06    0.12623E-02    0.18445E-02
    57    0.20304E+01   -0.18358E-02    0.75678E-05    0.14505E-01    0.30322E-01   -0.18358E-02    0.29820E-03    0.61633E-13   -0.55030E-09   -0.65211E-09    0.75678E-05    0.61633E-13    0.27145E-10    0.56198E-07    0.11454E-06    0.14505E-01   -0.55030E-09    0.56198E-07    0.92268E-03    0.13014E-02    0.30322E-01   -0.65211E-09    0.11454E-06    0.13014E-02    0.19019E-02
    58    0.20134E+01   -0.12124E-02    0.72433E-05    0.14484E-01    0.30167E-01   -0.12124E-02    0.26287E-03    0.62452E-13   -0.38861E-09   -0.43079E-09    0.72433E-05    0.62452E-13    0.25984E-10    0.56116E-07    0.11396E-06    0.14484E-01   -0.38861E-09    0.56116E-07    0.94997E-03    0.13406E-02    0.30167E-01   -0.43079E-09    0.11396E-06    0.13406E-02    0.19596E-02
    59    0.19614E+01   -0.77348E-03    0.69363E-05    0.14459E-01    0.30007E-01   -0.77348E-03    0.14575E-03    0.69833E-13   -0.14636E-09   -0.93302E-10    0.69363E-05    0.69833E-13    0.24885E-10    0.56017E-07    0.11337E-06    0.14459E-01   -0.14636E-09    0.56017E-07    0.97736E-03    0.13800E-02    0.30007E-01   -0.93302E-10    0.11337E-06    0.13800E-02    0.20176E-02
    60    0.18874E+01    0.22859E-07    0.66455E-05    0.14430E-01    0.29842E-01    0.22859E-07    0.26018E-14    0.82063E-13    0.16462E-09    0.34363E-09    0.66455E-05    0.82063E-13    0.23845E-10    0.55902E-07    0.11276E-06    0.14430E-01    0.16462E-09    0.55902E-07    0.10048E-02    0.14195E-02    0.29842E-01    0.34363E-09    0.11276E-06    0.14195E-02    0.20756E-02
