#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.101739E+00   0.242968E+07   0.241371E+07  -0.642844E+01  -0.643068E+01   0.000000E+00   0.242704E+07   0.242704E+07   0.242704E+07  -0.561709E-01   0.124962E+07   0.124951E+07   0.356637E+00
   0.104473E+00   0.235005E+07   0.233469E+07  -0.589663E+01  -0.589868E+01   0.000000E+00   0.234751E+07   0.234751E+07   0.234751E+07  -0.543302E-01   0.120867E+07   0.120857E+07   0.329333E+00
   0.107207E+00   0.228003E+07   0.226550E+07  -0.543301E+01  -0.543490E+01   0.000000E+00   0.227763E+07   0.227763E+07   0.227763E+07  -0.527129E-01   0.117269E+07   0.117260E+07   0.297572E+00
   0.109941E+00   0.221847E+07   0.220492E+07  -0.502688E+01  -0.502863E+01   0.000000E+00   0.221623E+07   0.221623E+07   0.221623E+07  -0.512919E-01   0.114108E+07   0.114099E+07   0.263355E+00
   0.112674E+00   0.216401E+07   0.215154E+07  -0.466864E+01  -0.467026E+01   0.000000E+00   0.216194E+07   0.216194E+07   0.216194E+07  -0.500356E-01   0.111313E+07   0.111305E+07   0.228655E+00
   0.115408E+00   0.211518E+07   0.210382E+07  -0.434991E+01  -0.435142E+01   0.000000E+00   0.211330E+07   0.211330E+07   0.211330E+07  -0.489098E-01   0.108808E+07   0.108801E+07   0.195279E+00
   0.118142E+00   0.207048E+07   0.206021E+07  -0.406344E+01  -0.406485E+01   0.000000E+00   0.206878E+07   0.206878E+07   0.206878E+07  -0.478794E-01   0.106516E+07   0.106510E+07   0.164756E+00
   0.120876E+00   0.202839E+07   0.201913E+07  -0.380303E+01  -0.380435E+01   0.000000E+00   0.202686E+07   0.202686E+07   0.202686E+07  -0.469092E-01   0.104357E+07   0.104352E+07   0.138263E+00
   0.123609E+00   0.198746E+07   0.197908E+07  -0.356347E+01  -0.356471E+01   0.000000E+00   0.198608E+07   0.198608E+07   0.198608E+07  -0.459654E-01   0.102257E+07   0.102253E+07   0.116584E+00
   0.126343E+00   0.194639E+07   0.193873E+07  -0.334057E+01  -0.334174E+01   0.000000E+00   0.194512E+07   0.194512E+07   0.194512E+07  -0.450176E-01   0.100149E+07   0.100145E+07   0.100104E+00
   0.129077E+00   0.190417E+07   0.189704E+07  -0.313123E+01  -0.313232E+01   0.000000E+00   0.190299E+07   0.190299E+07   0.190299E+07  -0.440424E-01   0.979795E+06   0.979761E+06   0.888282E-01
   0.131811E+00   0.186019E+07   0.185340E+07  -0.293338E+01  -0.293440E+01   0.000000E+00   0.185907E+07   0.185907E+07   0.185907E+07  -0.430258E-01   0.957179E+06   0.957146E+06   0.824235E-01
   0.134545E+00   0.181428E+07   0.180767E+07  -0.274591E+01  -0.274686E+01   0.000000E+00   0.181319E+07   0.181319E+07   0.181319E+07  -0.419640E-01   0.933557E+06   0.933524E+06   0.802834E-01
   0.137278E+00   0.176668E+07   0.176008E+07  -0.256840E+01  -0.256930E+01   0.000000E+00   0.176559E+07   0.176559E+07   0.176559E+07  -0.408625E-01   0.909052E+06   0.909018E+06   0.816022E-01
   0.140012E+00   0.171791E+07   0.171119E+07  -0.240087E+01  -0.240170E+01   0.000000E+00   0.171680E+07   0.171680E+07   0.171680E+07  -0.397333E-01   0.883931E+06   0.883895E+06   0.854551E-01
   0.142746E+00   0.166861E+07   0.166168E+07  -0.224343E+01  -0.224421E+01   0.000000E+00   0.166747E+07   0.166747E+07   0.166747E+07  -0.385915E-01   0.858531E+06   0.858492E+06   0.908773E-01
   0.145480E+00   0.161946E+07   0.161225E+07  -0.209619E+01  -0.209692E+01   0.000000E+00   0.161827E+07   0.161827E+07   0.161827E+07  -0.374528E-01   0.833201E+06   0.833158E+06   0.969354E-01
   0.148213E+00   0.157109E+07   0.156359E+07  -0.195917E+01  -0.195985E+01   0.000000E+00   0.156985E+07   0.156985E+07   0.156985E+07  -0.363322E-01   0.808271E+06   0.808225E+06   0.102787E+00
