#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.689342E-01   0.405095E+07   0.403752E+07  -0.217479E+02  -0.217562E+02   0.000000E+00   0.404878E+07   0.404878E+07   0.404878E+07  -0.961228E-01   0.211478E+07   0.211472E+07   0.294375E+00
   0.716679E-01   0.390178E+07   0.388919E+07  -0.193798E+02  -0.193872E+02   0.000000E+00   0.389975E+07   0.389975E+07   0.389975E+07  -0.925846E-01   0.203694E+07   0.203688E+07   0.269492E+00
   0.744017E-01   0.375275E+07   0.374047E+07  -0.172949E+02  -0.173015E+02   0.000000E+00   0.375077E+07   0.375077E+07   0.375077E+07  -0.890477E-01   0.195912E+07   0.195906E+07   0.266147E+00
   0.771355E-01   0.360385E+07   0.359147E+07  -0.154520E+02  -0.154579E+02   0.000000E+00   0.360185E+07   0.360185E+07   0.360185E+07  -0.855122E-01   0.188134E+07   0.188128E+07   0.278210E+00
   0.798692E-01   0.345590E+07   0.344308E+07  -0.138201E+02  -0.138254E+02   0.000000E+00   0.345383E+07   0.345383E+07   0.345383E+07  -0.819979E-01   0.180403E+07   0.180395E+07   0.299800E+00
   0.826030E-01   0.331020E+07   0.329674E+07  -0.123752E+02  -0.123799E+02   0.000000E+00   0.330803E+07   0.330803E+07   0.330803E+07  -0.785364E-01   0.172787E+07   0.172779E+07   0.325571E+00
   0.853368E-01   0.316829E+07   0.315408E+07  -0.110973E+02  -0.111015E+02   0.000000E+00   0.316600E+07   0.316600E+07   0.316600E+07  -0.751645E-01   0.165369E+07   0.165360E+07   0.350961E+00
   0.880705E-01   0.303173E+07   0.301678E+07  -0.996937E+01  -0.997315E+01   0.000000E+00   0.302932E+07   0.302932E+07   0.302932E+07  -0.719195E-01   0.158230E+07   0.158220E+07   0.372339E+00
   0.908043E-01   0.290198E+07   0.288640E+07  -0.897624E+01  -0.897964E+01   0.000000E+00   0.289947E+07   0.289947E+07   0.289947E+07  -0.688367E-01   0.151448E+07   0.151437E+07   0.387080E+00
   0.935380E-01   0.278038E+07   0.276435E+07  -0.810433E+01  -0.810740E+01   0.000000E+00   0.277780E+07   0.277780E+07   0.277780E+07  -0.659481E-01   0.145093E+07   0.145082E+07   0.393570E+00
   0.962718E-01   0.266806E+07   0.265179E+07  -0.734118E+01  -0.734397E+01   0.000000E+00   0.266543E+07   0.266543E+07   0.266543E+07  -0.632805E-01   0.139224E+07   0.139212E+07   0.391137E+00
   0.990056E-01   0.256579E+07   0.254955E+07  -0.667508E+01  -0.667761E+01   0.000000E+00   0.256317E+07   0.256317E+07   0.256317E+07  -0.608526E-01   0.133882E+07   0.133871E+07   0.379947E+00
   0.101739E+00   0.247392E+07   0.245797E+07  -0.609473E+01  -0.609704E+01   0.000000E+00   0.247135E+07   0.247135E+07   0.247135E+07  -0.586726E-01   0.129086E+07   0.129075E+07   0.360858E+00
   0.104473E+00   0.239227E+07   0.237687E+07  -0.558918E+01  -0.559130E+01   0.000000E+00   0.238978E+07   0.238978E+07   0.238978E+07  -0.567362E-01   0.124826E+07   0.124815E+07   0.335257E+00
   0.107207E+00   0.232017E+07   0.230553E+07  -0.514789E+01  -0.514984E+01   0.000000E+00   0.231781E+07   0.231781E+07   0.231781E+07  -0.550275E-01   0.121066E+07   0.121056E+07   0.304882E+00
   0.109941E+00   0.225658E+07   0.224286E+07  -0.476103E+01  -0.476284E+01   0.000000E+00   0.225436E+07   0.225436E+07   0.225436E+07  -0.535212E-01   0.117752E+07   0.117743E+07   0.271647E+00
   0.112674E+00   0.220018E+07   0.218751E+07  -0.441971E+01  -0.442138E+01   0.000000E+00   0.219814E+07   0.219814E+07   0.219814E+07  -0.521863E-01   0.114815E+07   0.114807E+07   0.237477E+00
   0.115408E+00   0.214958E+07   0.213799E+07  -0.411612E+01  -0.411768E+01   0.000000E+00   0.214771E+07   0.214771E+07   0.214771E+07  -0.509892E-01   0.112181E+07   0.112174E+07   0.204170E+00
   0.118142E+00   0.210334E+07   0.209283E+07  -0.384354E+01  -0.384499E+01   0.000000E+00   0.210164E+07   0.210164E+07   0.210164E+07  -0.498954E-01   0.109775E+07   0.109768E+07   0.173279E+00
   0.120876E+00   0.206004E+07   0.205053E+07  -0.359625E+01  -0.359761E+01   0.000000E+00   0.205850E+07   0.205850E+07   0.205850E+07  -0.488713E-01   0.107521E+07   0.107516E+07   0.146041E+00
   0.123609E+00   0.201831E+07   0.200971E+07  -0.336945E+01  -0.337073E+01   0.000000E+00   0.201693E+07   0.201693E+07   0.201693E+07  -0.478842E-01   0.105349E+07   0.105345E+07   0.123318E+00
   0.126343E+00   0.197692E+07   0.196906E+07  -0.315920E+01  -0.316039E+01   0.000000E+00   0.197566E+07   0.197566E+07   0.197566E+07  -0.469043E-01   0.103194E+07   0.103190E+07   0.105591E+00
